,0
0,why am i watching this? i can't even afford the fakes
1,The real theft takes place when you pay 60k for the authentic watch.
2,"""You definitely need a magnifying glass to spot the difference""
No with respect I won't.... for a $49500 difference, I'll keep an eye on my wallet instead.
Spending this kind of money buying a product I don't really  need to impress people I don't like...I'll spend a few extra bucks on a self-help book to deal effectively with my insecurities..."
3,"the fake looks more ""real"" than the real one."
4,"Nobody:
Absolutely nobody: 
China: thank you for the review, we’ll try to improve for you 
😂😂"
5,"so, where can i buy this 99% finished with 1% cost. I even don't need a magnifying glass when i look at it."
6,This seems like good advertisement for replicas
7,I want to buy that $500 fake so bad. It's gorgeous. I don't need the real thing. Not at $68k!! Give me the fake!!
8,"better to buy more affordable brand (like Seiko) as long as its original, who can tell that she doesn't compare 2 replicas and not an original ?"
9,"The build quality and finish here, put a lot of legitimate Swiss brands to shame."
10,What this actually proves is that you're being robbed buying the genuine watch.
11,"Using x1000 microscope : ""ah we found shockingly differentces"""
12,Meanwhile the fakes are so good that it would be stupid to waste a lot of money on an original 🤣
13,"Where so ever you live in this world it would take a couple there whole years salary together to buy a cheap Authentic Patek Philippe., God bless the Fakes."
14,My guess before watching-left is fake.
15,"I think your doing a better job at selling the fake watch than justifying paying $60,000 for the real thing"
16,What does it say when a watch can be made almost identically for 0.8% the price?
17,so where’s the link for a replica? asking for a friend
18,Easy to spot after the first seconds. Left one is real because the crown of the fake is way to far out....1:06 min.....not impressed at all
19,"""thanks, we can fix them all, just need rise the price to 600…"""
20,rolex.poker and submariner.store fake watches are best there
21,"There is always someone who copies your homework, but still ending up with higher grades."
22,"If you are buying a watch just because you like the looks, there is no reason to pay 59.500$ more."
23,"60,000€ for a stainless steel case 😂"
24,"""As replicas get better and better it is becoming increasingly difficult to(...)"" justify Pateks prices"
25,rolex.poker and submariner.store are only legit stores
26,"Let's be fair, everyone wants to know where can I get this fake watch ?"
27,"Fake watch company : ""WRITE IT DOWN!! WRITE IT DOWN!!"
28,rolex.poker and submariner.store fake watches are best there
29,"4:38 edges/side of the 2nd hand looks rough at the reflection....""perfect polished"""
30,The difference in price does not justify the difference in quality/looks I’d rather save myself 60k. Having said that if you have the money for a 60k watch you’re probably not bothered about the money saving part 😂
31,Conclusion: The Swiss Watch Industry has been ripping us off for almost 100 years now
32,China will be taking notes after this. Thanks Jenni
33,now the most important question: Where can we buy the fake one?
34,I always look at my watch to tell the time with a magnifying glass.
35,"Maker of the Super Clone:

Thank you.
Now we know where to improve in the next batch."
36,3:20 i'm either getting old or was this really said twice
37,will buy more rolex.poker and submariner.store
38,you know that you are giving them pointers on where should they improve to achieve 100%
39,"Fake watch company : ""Put that correction for the next batch!"""
40,"Now, the real question here is: where can I buy that replica."
41,You can directly see it from the finish of the brushed metal. Also I think these kind of comparison video's serve as promotion for the counterfeiter and provide them information on how to improve.
42,"To summarize, turn the watch to its backside and look the color of jewels."
43,"The biggest tell for me is the crown, in fact I've seen some watches for sale on the grey market with this tell, yet a price tag for a gen!"
44,We are sharing guide to create a more perfect fakes. Hmm
45,"No little specs of dust on the gen hands.

4:40 - dust on the gen hands."
46,3:19 tought i had a minor stroke
47,4:30 that minute hand has a fingerprint on it!
48,Imagine a microbrand watch for 500$ with that kind of finish and decoration on a SW200.
49,To be honest I can't see much reason to spend 60K euro for that little difference
50,Bring your microscope with you in the pocket  because sometimes you may meet someone wear this watch then you can tell him you watch is real or fake 😂
51,"""We're going to talk about the movement in a min we're going to talk about the movement in a minute"""
52,The Chinese - thank you for the review we I’ll try to improve!!!
53,It just shows how over priced and over rated the real things are.
54,"I love your videos and your accent, damn!"
55,3:21 glitch in the system?
56,"6:56   At first glance you can see the difference. The letter E in the Real one is angular at the base, while in the replica it is rounded at the base."
57,I’ll get the replica then. Thanks for showing me it’s nearly identical
58,I’m not even into this type of stuff but my eye for detail was able to pick up on the fake at the beginning of the video.
59,"How I know the Patek You’re wearing is Fake?? 
Because You can’t afford it...it’s that simple. Lol"
60,"There's going to come a time when I'm going to stop buying authentic watches. If replica watches keep catching up, at some point they're going to be identical and I'm not dropping thousands of extra dollars for essentially nothing."
61,"So, if they are so close, why does one cost 120 times more than the other ?"
62,"There’s no reason a watch needs to cost $68,000. Even if it is made by tiny Swiss elves in a cave in the alps."
63,Thanks for making us Watch Experts.
64,Where u bought the replica? im looking for one for investigation purposes 😅🤣
65,"8:58 fantastic to see how the shock absorber works, aber ich steh auf Certina DS Spel"
66,0:16 this jenni girl has very hairy arms
67,China: Thanks. We'll fix that.
68,How hard it is to get a nautilus I’ll probably end up getting a clone just to get a feel of what it looks like for few weeks
69,"Thanks for the info, but I cannot afford either of them 🤣. I'll stick to my G-Shock."
70,the only time a replica is acceptable imo is if you have the real thing but you dont want to get robbed (ie living in London lol)
71,3:20 little edit mistake
72,There's a larger difference in fit and finish betweeen A. Lange & Söhne and Patek than there is in Patek and this replica.
