,labels,comments
0,ham,why am i watching this? i can't even afford the fakes
1,ham,The real theft takes place when you pay 60k for the authentic watch.
2,ham,"""You definitely need a magnifying glass to spot the difference""
No with respect I won't.... for a $49500 difference, I'll keep an eye on my wallet instead.
Spending this kind of money buying a product I don't really  need to impress people I don't like...I'll spend a few extra bucks on a self-help book to deal effectively with my insecurities..."
3,ham,"the fake looks more ""real"" than the real one."
4,ham,"Nobody:
Absolutely nobody: 
China: thank you for the review, we’ll try to improve for you 
😂😂"
5,ham,"so, where can i buy this 99% finished with 1% cost. I even don't need a magnifying glass when i look at it."
6,ham,This seems like good advertisement for replicas
7,ham,I want to buy that $500 fake so bad. It's gorgeous. I don't need the real thing. Not at $68k!! Give me the fake!!
8,ham,"better to buy more affordable brand (like Seiko) as long as its original, who can tell that she doesn't compare 2 replicas and not an original ?"
9,ham,"The build quality and finish here, put a lot of legitimate Swiss brands to shame."
10,ham,What this actually proves is that you're being robbed buying the genuine watch.
11,ham,"Using x1000 microscope : ""ah we found shockingly differentces"""
12,ham,Meanwhile the fakes are so good that it would be stupid to waste a lot of money on an original 🤣
13,ham,"Where so ever you live in this world it would take a couple there whole years salary together to buy a cheap Authentic Patek Philippe., God bless the Fakes."
14,ham,My guess before watching-left is fake.
15,ham,"I think your doing a better job at selling the fake watch than justifying paying $60,000 for the real thing"
16,ham,What does it say when a watch can be made almost identically for 0.8% the price?
17,ham,so where’s the link for a replica? asking for a friend
18,ham,Easy to spot after the first seconds. Left one is real because the crown of the fake is way to far out....1:06 min.....not impressed at all
19,ham,"""thanks, we can fix them all, just need rise the price to 600…"""
20,ham,rolex.poker and submariner.store fake watches are best there
21,ham,"There is always someone who copies your homework, but still ending up with higher grades."
22,ham,"If you are buying a watch just because you like the looks, there is no reason to pay 59.500$ more."
23,spam,"60,000€ for a stainless steel case 😂"
24,ham,"""As replicas get better and better it is becoming increasingly difficult to(...)"" justify Pateks prices"
25,spam,rolex.poker and submariner.store are only legit stores
26,ham,"Let's be fair, everyone wants to know where can I get this fake watch ?"
27,ham,"Fake watch company : ""WRITE IT DOWN!! WRITE IT DOWN!!"
28,ham,rolex.poker and submariner.store fake watches are best there
29,ham,"4:38 edges/side of the 2nd hand looks rough at the reflection....""perfect polished"""
30,ham,The difference in price does not justify the difference in quality/looks I’d rather save myself 60k. Having said that if you have the money for a 60k watch you’re probably not bothered about the money saving part 😂
31,ham,Conclusion: The Swiss Watch Industry has been ripping us off for almost 100 years now
32,ham,China will be taking notes after this. Thanks Jenni
33,ham,now the most important question: Where can we buy the fake one?
34,ham,I always look at my watch to tell the time with a magnifying glass.
35,ham,"Maker of the Super Clone:

Thank you.
Now we know where to improve in the next batch."
36,ham,3:20 i'm either getting old or was this really said twice
37,ham,will buy more rolex.poker and submariner.store
38,ham,you know that you are giving them pointers on where should they improve to achieve 100%
39,ham,"Fake watch company : ""Put that correction for the next batch!"""
40,ham,"Now, the real question here is: where can I buy that replica."
41,ham,You can directly see it from the finish of the brushed metal. Also I think these kind of comparison video's serve as promotion for the counterfeiter and provide them information on how to improve.
42,ham,"To summarize, turn the watch to its backside and look the color of jewels."
43,ham,"The biggest tell for me is the crown, in fact I've seen some watches for sale on the grey market with this tell, yet a price tag for a gen!"
44,ham,We are sharing guide to create a more perfect fakes. Hmm
45,ham,"No little specs of dust on the gen hands.

4:40 - dust on the gen hands."
46,ham,3:19 tought i had a minor stroke
47,ham,4:30 that minute hand has a fingerprint on it!
48,ham,Imagine a microbrand watch for 500$ with that kind of finish and decoration on a SW200.
49,ham,To be honest I can't see much reason to spend 60K euro for that little difference
50,ham,Bring your microscope with you in the pocket  because sometimes you may meet someone wear this watch then you can tell him you watch is real or fake 😂
51,ham,"""We're going to talk about the movement in a min we're going to talk about the movement in a minute"""
52,ham,The Chinese - thank you for the review we I’ll try to improve!!!
53,ham,It just shows how over priced and over rated the real things are.
54,ham,"I love your videos and your accent, damn!"
55,ham,3:21 glitch in the system?
56,ham,"6:56   At first glance you can see the difference. The letter E in the Real one is angular at the base, while in the replica it is rounded at the base."
57,ham,I’ll get the replica then. Thanks for showing me it’s nearly identical
58,ham,I’m not even into this type of stuff but my eye for detail was able to pick up on the fake at the beginning of the video.
59,ham,"How I know the Patek You’re wearing is Fake?? 
Because You can’t afford it...it’s that simple. Lol"
60,ham,"There's going to come a time when I'm going to stop buying authentic watches. If replica watches keep catching up, at some point they're going to be identical and I'm not dropping thousands of extra dollars for essentially nothing."
61,ham,"So, if they are so close, why does one cost 120 times more than the other ?"
62,ham,"There’s no reason a watch needs to cost $68,000. Even if it is made by tiny Swiss elves in a cave in the alps."
63,ham,Thanks for making us Watch Experts.
64,ham,Where u bought the replica? im looking for one for investigation purposes 😅🤣
65,ham,"8:58 fantastic to see how the shock absorber works, aber ich steh auf Certina DS Spel"
66,ham,0:16 this jenni girl has very hairy arms
67,ham,China: Thanks. We'll fix that.
68,ham,How hard it is to get a nautilus I’ll probably end up getting a clone just to get a feel of what it looks like for few weeks
69,ham,"Thanks for the info, but I cannot afford either of them 🤣. I'll stick to my G-Shock."
70,ham,the only time a replica is acceptable imo is if you have the real thing but you dont want to get robbed (ie living in London lol)
71,ham,3:20 little edit mistake
72,ham,There's a larger difference in fit and finish betweeen A. Lange & Söhne and Patek than there is in Patek and this replica.
73,ham,"Thats why i always carry around a bunch of ultra expensive watches and a microscope in my pocket, so when i suspect someone might hive a high quality replica at a fraction of the price, i can pull out the genuine one, lay them side by side and compare them through the scope."
74,ham,i bought my  rep on rolex.poker and submariner.store
75,ham,60K for this? Very ugly....give me a 5K breitling anyday over this.
76,ham,"Buy from an authorized dealer?

If only that was possible."
77,ham,"if the fake is good as the original in terms of reliability and function, the mistake would be to spend $60000 on the original"
78,ham,were going to talk about the movement in a minute ..
79,ham,3:21 some remix
80,ham,It’s all in the little details with watches once you have the real one in your hand 🖐🏾 you will always know if some fake
81,ham,Thanks you’ve just saved me £59500 🤣👌🏽
82,ham,"Anyone know where she bought it, it's very well done 😂"
83,ham,"Just get the fake. Anyone telling me to be honorable and get a genuine cheaper watch, I don't really give a damn. The real theft happens if you buy the 60k watch."
84,ham,"great video, I have subbed, looking forward to watching more vids from you!"
85,ham,"The watch case is one of its most expensive parts, and  some of even high-end brands allow thousands of ""original"" cases go to replicas. Imagine if u want to produce 5000 watches but the case manufacturer says  they only do a minimum of 25000 per model. They agree to free the rest to replicas market. Thats why we find good stainless steel copies. The best way to detect them is the finish in the corners. Originals are smoother, replicas are sharper and unfinished"
86,ham,So where do they sell this horrendous fakes again? I want to take a look for my self.🤔
87,ham,"The difference between the real price and the value of this watch is so hilarious, you can buy 60k by paying 30k (if you have 15 years to spend waiting)"
88,ham,"I just got 1 question though, where you get the replica?"
89,ham,If i bought this watch I would have to live in it. Of course i would have to quit eating
90,ham,"If you had a real reference watch in one hand why on earth would you have a fake in the other?. More nonsense, just be careful if you want the real thing & use a trusted dealer. But if you are someone who has about 60k to spend on a watch you wont need telling. You wont have amassed that amount of money through being stupid, would you!."
91,ham,6:40 What is the brand of the leather case?
92,ham,"I've learned a lot from your review,  your very good at what you do, thank you ....."
93,ham,Attention to the details! Thank you. Good clip.
94,ham,"Jenni, you remind me of my next wife 🥰"
95,ham,“Thank you for alerting us to these issues; we will address them.”  —China
96,ham,4:41 what's that stuff on the hand?
97,ham,First look : the same. Second look : the shame 😉
98,ham,"It's a good thing I watched this video....  I was just getting ready to drop 60,000 euros on a watch. 
Cha-Ching....  I just saved myself 59,990 euros."
99,ham,"If the fake was branded ""Pathetically Poor"" (taxpayer edition) I might order one. As it would be a giggle."
100,ham,Good points! Thank you!.
101,ham,"Great, I really love this video! I found it on google , I've subscribed to this channel and I can't wait to see more great content like this one in the next few weeks, thank you very much!"
102,ham,'Thank you Jeni. We try harder next time.' The factory owner...
103,ham,"My takeaway (and sorry Switzerland) is that until I've got the cash to buy the real thing and compare it, every one I see on somebody else's wrist is a fake."
104,ham,"Thank you for sharing this great video,you are so helpful,I like your videos,    I received the best quality one from replicaclubs..ru two months ago"
105,ham,"Who in their right mind would pay 60,000 euro for a watch lol"
106,ham,right original left clone before you said. i lost the challenge :D
107,ham,"Hello, I really liked your video, explanation .... I would like to know where should I go to get one of this replicas? Is there any place you can recomend me?  Thank you"
108,ham,That emperor green tint in the blue is a good one to use.
109,ham,Thanks I learned something new. I appreciate your work.
110,spam,Your voice is so hot! I subscribed! Greetings from Eastern Europe!
111,ham,You can spot the tiny details looking through a magnifier glass. great video.
112,ham,"I’d love to see the factory in which this replica is made, and the processes they use. To achieve this level of finishing for this price... must be a pretty advanced workshop by anyone’s measure."
113,ham,Wow!!! A lady into her watches is lovely!
114,ham,"Beautiful girl, interesting video, thank you Jenny"
115,ham,So close enough to said far away from real magnificent piece Thank you again for amazing advice 👍🏼👍🏼....
116,ham,"4:06  the fake on is 14 days off, that's a nice way to spot it."
117,ham,I wonder how much is the markup on these high end watches...
118,ham,Thanks for the video Jenni! The sound seems to be slightly out of sync :)
119,ham,"Even if I have €60.000, I would choose the fake one.. just to fool the rich bastard"
120,ham,"I just watch this videos to see Jenni. She's a very beautiful and classy woman. Also, I just love her accent. About these two watches, I couldn't even afford the strap of the fake one. 😂"
121,spam,Ottimo! Bellissimo submariner.store .
122,ham,"The question is another : 
Does it really worth it, buying an authorized one, with that crazy price charges, when in exchange, the other options are almost identical in quality but with a ridiculous low price."
123,ham,"The replica is seriously impressive - I can see how the Patek might be worth more, but not 100x as much - maybe 5 or 10x given the higher cost of materials and the better finishing of the movement. I think we are a few years away from perfect 1:1 replicas for a fraction of the price."
124,ham,Great watches and expensive watches are usually mutually exclusive.
125,ham,Andrew TT - this is for you ;)
